dia,categoria,n_servicios,revenue_clp
lunes,Ambientaciones,112,4070200
lunes,Cabañas,340,26186500
lunes,Masajes,835,32372000
lunes,Tinas,1523,71711500
martes,Ambientaciones,122,4416000
martes,Cabañas,406,30092000
martes,Masajes,850,32529000
martes,Tinas,1639,74115200
miércoles,Ambientaciones,118,4285000
miércoles,Cabañas,382,29333000
miércoles,Masajes,944,36417500
miércoles,Tinas,1562,73420350
jueves,Ambientaciones,88,2971000
jueves,Cabañas,445,33643500
jueves,Masajes,979,37929100
jueves,Tinas,1626,76081200
viernes,Ambientaciones,323,10778000
viernes,Cabañas,1187,97982000
viernes,Masajes,2181,81379500
viernes,Tinas,3868,176527000
sábado,Ambientaciones,210,7312000
sábado,Cabañas,932,76600000
sábado,Masajes,2348,91285610
sábado,Tinas,3538,176819630
domingo,Ambientaciones,91,3159000
domingo,Cabañas,556,29256190
domingo,Masajes,1172,44454250
domingo,Tinas,1947,98825400
