mes,categoria,n_servicios,revenue_clp
ene,Ambientaciones,198,6404000
ene,Cabañas,995,74154190
ene,Masajes,1701,63518500
ene,Tinas,2886,134213500
feb,Ambientaciones,251,9512000
feb,Cabañas,513,40168000
feb,Masajes,1117,44119200
feb,Tinas,1896,93276530
mar,Ambientaciones,46,1810000
mar,Cabañas,303,22827500
mar,Masajes,648,26157010
mar,Tinas,1136,54301700
abr,Ambientaciones,43,1463000
abr,Cabañas,251,19726000
abr,Masajes,603,24098500
abr,Tinas,927,43555000
may,Ambientaciones,63,1947000
may,Cabañas,223,16902500
may,Masajes,665,24785500
may,Tinas,959,46318000
jun,Ambientaciones,66,1921200
jun,Cabañas,251,19313000
jun,Masajes,555,20866500
jun,Tinas,1013,48179100
jul,Ambientaciones,86,2737000
jul,Cabañas,293,24545000
jul,Masajes,687,25798500
jul,Tinas,1473,74566500
ago,Ambientaciones,79,2943000
ago,Cabañas,225,18451000
ago,Masajes,579,21937750
ago,Tinas,1052,50081950
sep,Ambientaciones,62,2253000
sep,Cabañas,199,15603000
sep,Masajes,484,18412500
sep,Tinas,884,41942000
oct,Ambientaciones,81,2878000
oct,Cabañas,334,24058000
oct,Masajes,782,29881500
oct,Tinas,1264,58659000
nov,Ambientaciones,62,2203000
nov,Cabañas,336,23925000
nov,Masajes,810,30703000
nov,Tinas,1193,54115000
dic,Ambientaciones,27,920000
dic,Cabañas,325,23420000
dic,Masajes,678,26088500
dic,Tinas,1020,48292000
