anio,categoria,n_servicios,revenue_clp
2020,Cabañas,82,7870000
2020,Masajes,84,4544510
2020,Tinas,248,8992000
2021,Ambientaciones,450,14797000
2021,Cabañas,1391,122473190
2021,Masajes,2814,107173000
2021,Tinas,5634,247927430
2022,Ambientaciones,229,8683200
2022,Cabañas,935,85102000
2022,Masajes,2573,95680250
2022,Tinas,4587,218472000
2023,Ambientaciones,243,8876000
2023,Cabañas,989,57622000
2023,Masajes,2022,78283000
2023,Tinas,3124,148065950
2024,Ambientaciones,138,4501000
2024,Cabañas,768,44926000
2024,Masajes,1693,65841200
2024,Tinas,1959,115237900
2025,Ambientaciones,4,134000
2025,Cabañas,83,5100000
2025,Masajes,123,4845000
2025,Tinas,151,8805000
