anio_mes,categoria,n_servicios,revenue_clp
2020-03,Cabañas,2,240000
2020-03,Masajes,4,87010
2020-03,Tinas,4,120000
2020-10,Cabañas,24,2300000
2020-10,Masajes,35,1902500
2020-10,Tinas,93,3639000
2020-11,Cabañas,31,3100000
2020-11,Masajes,32,1910000
2020-11,Tinas,101,3473000
2020-12,Cabañas,25,2230000
2020-12,Masajes,13,645000
2020-12,Tinas,50,1760000
2021-01,Ambientaciones,148,4543000
2021-01,Cabañas,568,43454190
2021-01,Masajes,840,30143000
2021-01,Tinas,1540,64761400
2021-02,Ambientaciones,12,383000
2021-02,Cabañas,96,7695000
2021-02,Masajes,213,9010000
2021-02,Tinas,371,14298030
2021-03,Cabañas,64,5730000
2021-03,Masajes,78,4501000
2021-03,Tinas,211,8139000
2021-04,Ambientaciones,9,284000
2021-04,Cabañas,54,5230000
2021-04,Masajes,78,3660500
2021-04,Tinas,170,6253000
2021-05,Ambientaciones,17,566000
2021-05,Cabañas,67,6031000
2021-05,Masajes,164,5445000
2021-05,Tinas,284,11824000
2021-06,Ambientaciones,25,658000
2021-06,Cabañas,79,6950000
2021-06,Masajes,134,4625000
2021-06,Tinas,306,13076000
2021-07,Ambientaciones,42,1267000
2021-07,Cabañas,93,9305000
2021-07,Masajes,221,8085000
2021-07,Tinas,532,27085000
2021-08,Ambientaciones,57,2040000
2021-08,Cabañas,93,9220000
2021-08,Masajes,291,11060000
2021-08,Tinas,514,24545000
2021-09,Ambientaciones,45,1667000
2021-09,Cabañas,76,7968000
2021-09,Masajes,205,7935000
2021-09,Tinas,432,21223000
2021-10,Ambientaciones,47,1697000
2021-10,Cabañas,81,8150000
2021-10,Masajes,236,8995000
2021-10,Tinas,501,22607000
2021-11,Ambientaciones,35,1237000
2021-11,Cabañas,65,6550000
2021-11,Masajes,194,7499000
2021-11,Tinas,421,17987000
2021-12,Ambientaciones,13,455000
2021-12,Cabañas,55,6190000
2021-12,Masajes,160,6214500
2021-12,Tinas,352,16129000
2022-01,Ambientaciones,19,683000
2022-01,Cabañas,102,11730000
2022-01,Masajes,275,10571000
2022-01,Tinas,592,29871000
2022-02,Ambientaciones,74,2709000
2022-02,Cabañas,116,13800000
2022-02,Masajes,372,14391000
2022-02,Tinas,725,37306500
2022-03,Ambientaciones,21,810000
2022-03,Cabañas,67,7144000
2022-03,Masajes,189,7214000
2022-03,Tinas,416,19399000
2022-04,Ambientaciones,12,451000
2022-04,Cabañas,56,6310000
2022-04,Masajes,196,7482000
2022-04,Tinas,355,16077000
2022-05,Ambientaciones,13,518000
2022-05,Cabañas,43,4630000
2022-05,Masajes,219,8215500
2022-05,Tinas,274,12886000
2022-06,Ambientaciones,16,637200
2022-06,Cabañas,57,5710000
2022-06,Masajes,129,4866500
2022-06,Tinas,299,13479500
2022-07,Ambientaciones,26,979000
2022-07,Cabañas,82,9000000
2022-07,Masajes,236,8612500
2022-07,Tinas,560,27527000
2022-08,Ambientaciones,9,422000
2022-08,Cabañas,57,5200000
2022-08,Masajes,169,6218750
2022-08,Tinas,310,14401000
2022-09,Ambientaciones,9,327000
2022-09,Cabañas,66,4400000
2022-09,Masajes,154,5887500
2022-09,Tinas,234,10915000
2022-10,Ambientaciones,12,489000
2022-10,Cabañas,117,6668000
2022-10,Masajes,212,7695500
2022-10,Tinas,315,14095000
2022-11,Ambientaciones,12,426000
2022-11,Cabañas,96,5570000
2022-11,Masajes,264,8849000
2022-11,Tinas,272,11945000
2022-12,Ambientaciones,6,232000
2022-12,Cabañas,76,4940000
2022-12,Masajes,158,5677000
2022-12,Tinas,235,10570000
2023-01,Ambientaciones,12,456000
2023-01,Cabañas,143,8290000
2023-01,Masajes,259,10044000
2023-01,Tinas,357,16683000
2023-02,Ambientaciones,119,4761000
2023-02,Cabañas,156,10343000
2023-02,Masajes,266,10218000
2023-02,Tinas,472,21406500
2023-03,Ambientaciones,14,595000
2023-03,Cabañas,98,5324000
2023-03,Masajes,164,6250000
2023-03,Tinas,269,12505000
2023-04,Ambientaciones,12,446000
2023-04,Cabañas,79,4620000
2023-04,Masajes,161,6383000
2023-04,Tinas,239,11603000
2023-05,Ambientaciones,21,551000
2023-05,Cabañas,48,2680000
2023-05,Masajes,117,4593000
2023-05,Tinas,210,10129000
2023-06,Ambientaciones,11,341000
2023-06,Cabañas,60,3445000
2023-06,Masajes,130,5201500
2023-06,Tinas,219,10513000
2023-07,Ambientaciones,12,329000
2023-07,Cabañas,89,4750000
2023-07,Masajes,179,7061000
2023-07,Tinas,305,15320500
2023-08,Ambientaciones,13,481000
2023-08,Cabañas,69,3725000
2023-08,Masajes,111,4357000
2023-08,Tinas,223,10895950
2023-09,Ambientaciones,8,259000
2023-09,Cabañas,57,3235000
2023-09,Masajes,125,4590000
2023-09,Tinas,217,9804000
2023-10,Ambientaciones,13,430000
2023-10,Cabañas,50,3220000
2023-10,Masajes,182,6858500
2023-10,Tinas,213,10168000
2023-11,Ambientaciones,3,96000
2023-11,Cabañas,57,3525000
2023-11,Masajes,150,5905000
2023-11,Tinas,197,9290000
2023-12,Ambientaciones,5,131000
2023-12,Cabañas,83,4465000
2023-12,Masajes,178,6822000
2023-12,Tinas,203,9748000
2024-01,Ambientaciones,15,588000
2024-01,Cabañas,99,5580000
2024-01,Masajes,204,7915500
2024-01,Tinas,246,14093100
2024-02,Ambientaciones,46,1659000
2024-02,Cabañas,145,8330000
2024-02,Masajes,266,10500200
2024-02,Tinas,328,20265500
2024-03,Ambientaciones,11,405000
2024-03,Cabañas,72,4389500
2024-03,Masajes,213,8105000
2024-03,Tinas,236,14138700
2024-04,Ambientaciones,10,282000
2024-04,Cabañas,62,3566000
2024-04,Masajes,168,6573000
2024-04,Tinas,163,9622000
2024-05,Ambientaciones,12,312000
2024-05,Cabañas,65,3561500
2024-05,Masajes,165,6532000
2024-05,Tinas,191,11479000
2024-06,Ambientaciones,14,285000
2024-06,Cabañas,55,3208000
2024-06,Masajes,162,6173500
2024-06,Tinas,189,11110600
2024-07,Ambientaciones,6,162000
2024-07,Cabañas,29,1490000
2024-07,Masajes,51,2040000
2024-07,Tinas,76,4634000
2024-08,Cabañas,6,306000
2024-08,Masajes,8,302000
2024-08,Tinas,5,240000
2024-09,Tinas,1,0
2024-10,Ambientaciones,9,262000
2024-10,Cabañas,62,3720000
2024-10,Masajes,117,4430000
2024-10,Tinas,142,8150000
2024-11,Ambientaciones,12,444000
2024-11,Cabañas,87,5180000
2024-11,Masajes,170,6540000
2024-11,Tinas,202,11420000
2024-12,Ambientaciones,3,102000
2024-12,Cabañas,86,5595000
2024-12,Masajes,169,6730000
2024-12,Tinas,180,10085000
2025-01,Ambientaciones,4,134000
2025-01,Cabañas,83,5100000
2025-01,Masajes,123,4845000
2025-01,Tinas,151,8805000
