servicio,categoria,n_servicios,revenue_clp,ticket_promedio_clp
Masaje Relajacion o Descontracturante,Masajes,8471,323754210,38219
Tina Tronador,Tinas,3546,130064630,36679
Tina Hornopiren,Tinas,2919,124000400,42480
Tina Calbuco,Tinas,2291,126911200,55396
Hidromasaje Villarrica,Tinas,1996,96883300,48539
Hidromasaje Llaima,Tinas,1691,84145600,49761
Tina Osorno,Tinas,1328,98787200,74388
Desayuno,Cabañas,1035,10326500,9977
Cabaña Torre,Cabañas,989,102841690,103986
Cabaña Acantilado,Cabañas,856,87925500,102717
Hidromasaje Puntiagudo,Tinas,678,35680950,52627
Cabaña Tepa,Cabañas,576,58545500,101641
Ambientación romántica R1,Ambientaciones,562,17695200,31486
Tinas Calbuco,Tinas,509,20303000,39888
Cabaña Laurel,Cabañas,502,49126000,97861
Hidromasaje Puyehue,Tinas,217,10712000,49364
San Valentin 2024. $40.000,Ambientaciones,182,7265000,39918
Masaje Rel. o Desc. Diana,Masajes,163,6520000,40000
Cabaña Arrayan,Cabañas,138,12318000,89261
Masaje Rel. o Desc. Valentina,Masajes,124,4960000,40000
Tina Hidromasaje Puntiagudo,Tinas,111,6690000,60270
Hora adicional en Cabaña,Cabañas,110,1665000,15136
"Masaje Rel, o Desc. Paul",Masajes,110,4400000,40000
Tina Hidromasaje Villarrica,Tinas,108,6360000,58889
Masaje Piedras Calientes,Masajes,92,4054500,44071
tina eliminada,Tinas,84,180000,2143
Tina Hidromasaje Llaima,Tinas,74,4170000,56351
ambientación romantica,Ambientaciones,72,1879000,26097
Decoración cumpleaños C1,Ambientaciones,70,2320000,33143
Ambientación romántica R2,Ambientaciones,63,4350000,69048
Masaje Valentina 35.000,Masajes,50,1750000,35000
Adulto Adicional,Tinas,48,1124000,23417
Niño Adicional,Tinas,48,586000,12208
Masaje Diana 35.000,Masajes,47,1645000,35000
Masaje Paul 35000,Masajes,47,1645000,35000
Limpieza Facial 3 $49.500,Masajes,42,1999250,47601
Limpieza Facial 35.000,Masajes,38,964500,25382
Tina Normal Niño 10.000,Tinas,33,460000,13939
Ambientación Dia De La Madre $25.000,Ambientaciones,31,760000,24516
cabaña eliminada,Cabañas,30,90000,3000
Cumpleaños C2,Ambientaciones,26,1624000,62462
Drenaje Linfatico,Masajes,23,827500,35978
Ambientacion Eliminada,Ambientaciones,20,0,0
